Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
9000,1,1,1,9000,1,168,1,1,44187
,2,0.2,0.04,1800,,,,2,40044
,3,0.122,0.024,1100,,,,3,36535
,4,0.044,0.003,400,,,,4,34675
,,,,,,,,5,32475
,,,,,,,,6,32460
,,,,,,,,7,41566
,,,,,,,,8,51215
,,,,,,,,9,53706
,,,,,,,,10,54103
,,,,,,,,11,54444
,,,,,,,,12,54450
,,,,,,,,13,54063
,,,,,,,,14,53711
,,,,,,,,15,54386
,,,,,,,,16,56647
,,,,,,,,17,59171
,,,,,,,,18,60417
,,,,,,,,19,60982
,,,,,,,,20,59952
,,,,,,,,21,58245
,,,,,,,,22,55800
,,,,,,,,23,53432
,,,,,,,,24,51006
,,,,,,,,25,49292
,,,,,,,,26,48782
,,,,,,,,27,48966
,,,,,,,,28,48336
,,,,,,,,29,49107
,,,,,,,,30,51271
,,,,,,,,31,55977
,,,,,,,,32,61484
,,,,,,,,33,63823
,,,,,,,,34,64391
,,,,,,,,35,64288
,,,,,,,,36,63731
,,,,,,,,37,62963
,,,,,,,,38,62492
,,,,,,,,39,63392
,,,,,,,,40,66617
,,,,,,,,41,69923
,,,,,,,,42,71667
,,,,,,,,43,71978
,,,,,,,,44,70774
,,,,,,,,45,68244
,,,,,,,,46,65068
,,,,,,,,47,60663
,,,,,,,,48,48032
,,,,,,,,49,38395
,,,,,,,,50,33300
,,,,,,,,51,31992
,,,,,,,,52,35115
,,,,,,,,53,43801
,,,,,,,,54,55719
,,,,,,,,55,65571
,,,,,,,,56,72890
,,,,,,,,57,74562
,,,,,,,,58,73356
,,,,,,,,59,72013
,,,,,,,,60,70836
,,,,,,,,61,69691
,,,,,,,,62,68902
,,,,,,,,63,69611
,,,,,,,,64,72912
,,,,,,,,65,76484
,,,,,,,,66,78398
,,,,,,,,67,78890
,,,,,,,,68,77452
,,,,,,,,69,74500
,,,,,,,,70,70900
,,,,,,,,71,66479
,,,,,,,,72,56223
,,,,,,,,73,45130
,,,,,,,,74,39815
,,,,,,,,75,38259
,,,,,,,,76,40161
,,,,,,,,77,55127
,,,,,,,,78,66002
,,,,,,,,79,71193
,,,,,,,,80,75895
,,,,,,,,81,74446
,,,,,,,,82,72155
,,,,,,,,83,70061
,,,,,,,,84,68347
,,,,,,,,85,66942
,,,,,,,,86,66218
,,,,,,,,87,66824
,,,,,,,,88,69517
,,,,,,,,89,72539
,,,,,,,,90,73880
,,,,,,,,91,74059
,,,,,,,,92,72422
,,,,,,,,93,69174
,,,,,,,,94,65374
,,,,,,,,95,61909
,,,,,,,,96,58357
,,,,,,,,97,54955
,,,,,,,,98,54086
,,,,,,,,99,54629
,,,,,,,,100,55798
,,,,,,,,101,63242
,,,,,,,,102,69450
,,,,,,,,103,70591
,,,,,,,,104,70526
,,,,,,,,105,68957
,,,,,,,,106,67094
,,,,,,,,107,65484
,,,,,,,,108,64265
,,,,,,,,109,63186
,,,,,,,,110,62396
,,,,,,,,111,62787
,,,,,,,,112,65169
,,,,,,,,113,68064
,,,,,,,,114,69508
,,,,,,,,115,69822
,,,,,,,,116,68367
,,,,,,,,117,65465
,,,,,,,,118,61865
,,,,,,,,119,57922
,,,,,,,,120,49700
,,,,,,,,121,41907
,,,,,,,,122,34702
,,,,,,,,123,29410
,,,,,,,,124,32161
,,,,,,,,125,40849
,,,,,,,,126,49240
,,,,,,,,127,57438
,,,,,,,,128,65333
,,,,,,,,129,66104
,,,,,,,,130,64625
,,,,,,,,131,63203
,,,,,,,,132,62143
,,,,,,,,133,61133
,,,,,,,,134,60327
,,,,,,,,135,60343
,,,,,,,,136,62126
,,,,,,,,137,64219
,,,,,,,,138,64745
,,,,,,,,139,64570
,,,,,,,,140,63168
,,,,,,,,141,60856
,,,,,,,,142,57993
,,,,,,,,143,54980
,,,,,,,,144,50459
,,,,,,,,145,44146
,,,,,,,,146,37536
,,,,,,,,147,32579
,,,,,,,,148,27585
,,,,,,,,149,30014
,,,,,,,,150,36817
,,,,,,,,151,46363
,,,,,,,,152,56818
,,,,,,,,153,59347
,,,,,,,,154,59290
,,,,,,,,155,58726
,,,,,,,,156,57790
,,,,,,,,157,56834
,,,,,,,,158,56253
,,,,,,,,159,56502
,,,,,,,,160,58523
,,,,,,,,161,60914
,,,,,,,,162,61584
,,,,,,,,163,61604
,,,,,,,,164,60365
,,,,,,,,165,58399
,,,,,,,,166,55835
,,,,,,,,167,53185
,,,,,,,,168,49194
,,,,,,,,169,45158
,,,,,,,,170,39847
,,,,,,,,171,33559
,,,,,,,,172,32209
,,,,,,,,173,32089
,,,,,,,,174,34328
,,,,,,,,175,44019
,,,,,,,,176,54207
,,,,,,,,177,57719
,,,,,,,,178,57748
,,,,,,,,179,57669
,,,,,,,,180,57505
,,,,,,,,181,57069
,,,,,,,,182,56752
,,,,,,,,183,57572
,,,,,,,,184,60044
,,,,,,,,185,62844
,,,,,,,,186,63790
,,,,,,,,187,64256
,,,,,,,,188,62903
,,,,,,,,189,60219
,,,,,,,,190,57042
,,,,,,,,191,51724
,,,,,,,,192,38121
,,,,,,,,193,29057
,,,,,,,,194,24137
,,,,,,,,195,22806
,,,,,,,,196,25580
,,,,,,,,197,33235
,,,,,,,,198,43020
,,,,,,,,199,52797
,,,,,,,,200,63529
,,,,,,,,201,66925
,,,,,,,,202,66586
,,,,,,,,203,66007
,,,,,,,,204,65384
,,,,,,,,205,64700
,,,,,,,,206,64247
,,,,,,,,207,64592
,,,,,,,,208,66670
,,,,,,,,209,69152
,,,,,,,,210,69971
,,,,,,,,211,69555
,,,,,,,,212,67403
,,,,,,,,213,64185
,,,,,,,,214,60264
,,,,,,,,215,54639
,,,,,,,,216,40947
,,,,,,,,217,31393
,,,,,,,,218,26002
,,,,,,,,219,24342
,,,,,,,,220,27225
,,,,,,,,221,35169
,,,,,,,,222,44592
,,,,,,,,223,53473
,,,,,,,,224,63593
,,,,,,,,225,66800
,,,,,,,,226,66025
,,,,,,,,227,65074
,,,,,,,,228,64196
,,,,,,,,229,63488
,,,,,,,,230,62881
,,,,,,,,231,63276
,,,,,,,,232,65373
,,,,,,,,233,67903
,,,,,,,,234,68997
,,,,,,,,235,69056
,,,,,,,,236,67443
,,,,,,,,237,64130
,,,,,,,,238,60396
,,,,,,,,239,54624
,,,,,,,,240,41205
,,,,,,,,241,31993
,,,,,,,,242,26851
,,,,,,,,243,25316
,,,,,,,,244,27903
,,,,,,,,245,35303
,,,,,,,,246,45148
,,,,,,,,247,54350
,,,,,,,,248,64444
,,,,,,,,249,67255
,,,,,,,,250,66497
,,,,,,,,251,65686
,,,,,,,,252,64841
,,,,,,,,253,64139
,,,,,,,,254,63696
,,,,,,,,255,64234
,,,,,,,,256,66114
,,,,,,,,257,68201
,,,,,,,,258,69166
,,,,,,,,259,69238
,,,,,,,,260,67661
,,,,,,,,261,64574
,,,,,,,,262,60831
,,,,,,,,263,55252
,,,,,,,,264,42643
,,,,,,,,265,33894
,,,,,,,,266,29164
,,,,,,,,267,27782
,,,,,,,,268,30504
,,,,,,,,269,37960
,,,,,,,,270,47544
,,,,,,,,271,56413
,,,,,,,,272,66302
,,,,,,,,273,69916
,,,,,,,,274,69699
,,,,,,,,275,69077
,,,,,,,,276,68422
,,,,,,,,277,67813
,,,,,,,,278,67406
,,,,,,,,279,67941
,,,,,,,,280,70085
,,,,,,,,281,72685
,,,,,,,,282,74108
,,,,,,,,283,74363
,,,,,,,,284,72930
,,,,,,,,285,69990
,,,,,,,,286,66471
,,,,,,,,287,60729
,,,,,,,,288,47905
,,,,,,,,289,38826
,,,,,,,,290,33824
,,,,,,,,291,32400
,,,,,,,,292,35124
,,,,,,,,293,42556
,,,,,,,,294,52312
,,,,,,,,295,61742
,,,,,,,,296,72258
,,,,,,,,297,75382
,,,,,,,,298,74123
,,,,,,,,299,72514
,,,,,,,,300,70970
,,,,,,,,301,69512
,,,,,,,,302,68386
,,,,,,,,303,68522
,,,,,,,,304,70545
,,,,,,,,305,72887
,,,,,,,,306,73890
,,,,,,,,307,74107
,,,,,,,,308,72814
