Segment,1,2,3,4,Total
Zone,1,1,1,1,0
AnnualSum,49393.027,2336.261,1401.7566,175.21957,53306.266
t1,36166.49920559288,1767.48,1060.488,132.561,36166.49920559288
t2,32172.926657804885,1601.76,961.056,120.132,32172.926657804885
t3,28220.066193332874,1461.4,876.84,109.605,28220.066193332874
t4,27163.590613116874,1387.0,832.2,104.025,27163.590613116874
t5,25576.953000926875,1299.0,779.4,97.425,25576.953000926875
t6,24884.00032311087,1298.4,779.04,97.38,24884.00032311087
t7,33718.94071136088,1662.64,997.5840000000001,124.69800000000001,33718.94071136088
t8,43399.52693113022,2048.6,1229.16,153.645,43399.52693113022
t9,45044.67155383421,2148.2400000000002,1288.944,161.118,45044.67155383421
t10,44736.0976361142,2164.12,1298.472,162.309,44736.0976361142
t11,45732.33671695287,2177.76,1306.656,163.332,45732.33671695287
t12,45737.55762765287,2178.0,1306.8,163.35,45737.55762765287
t13,46054.62618081954,2162.52,1297.512,162.189,46054.62618081954
t14,45047.24888393155,2148.44,1289.064,161.133,45047.24888393155
t15,44998.06886253154,2175.44,1305.2640000000001,163.15800000000002,44998.06886253154
t16,47785.84520180088,2265.88,1359.528,169.941,47785.84520180088
t17,50479.45167529288,2366.84,1420.104,177.513,50479.45167529288
t18,50963.012041428876,2416.68,1450.008,181.251,50963.012041428876
t19,52169.05897202888,2439.28,1463.568,182.946,52169.05897202888
t20,51036.98877594688,2398.08,1438.848,179.856,51036.98877594688
t21,48765.39806776288,2329.8,1397.88,174.735,48765.39806776288
t22,46993.13076860088,2232.0,1339.2,167.4,46993.13076860088
t23,45122.489655764875,2137.28,1282.368,160.296,45122.489655764875
t24,42180.07220218088,2040.24,1224.144,153.018,42180.07220218088
t25,40919.90316668088,1971.68,1183.008,147.876,40919.90316668088
t26,40443.546131340874,1951.28,1170.768,146.346,40443.546131340874
t27,40614.88935011288,1958.64,1175.184,146.898,40614.88935011288
t28,40026.742905040875,1933.44,1160.064,145.008,40026.742905040875
t29,40745.53769863288,1964.28,1178.568,147.321,40745.53769863288
t30,43103.555050198884,2050.84,1230.5040000000001,153.81300000000002,43103.555050198884
t31,46815.27514213488,2239.08,1343.448,167.931,46815.27514213488
t32,52631.321403654874,2459.36,1475.616,184.452,52631.321403654874
t33,54134.651239326886,2552.92,1531.752,191.469,54134.651239326886
t34,55003.58061100088,2575.64,1545.384,193.173,55003.58061100088
