,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,3646.951449106333,0.0,0.0,0.0,0.0,3913.237095238095,49393.02879747626,0.0,0.0,-58406.5238095238
t1,3606.665326704,0.0,-0.0,0,-0.0,2960.529,36166.49920559288,0,0,-44187
t2,3734.818874492,0.0,-0.0,0,-0.0,2682.948,32172.926657804885,0,0,-40044
t3,4413.782338964,0.0,-0.0,0,-0.0,2447.8450000000003,28220.066193332874,0,0,-36535
t4,3734.87791918,0.0,-0.0,0,-0.0,2323.225,27163.590613116874,0,0,-34675
t5,3268.91553137,0.0,-0.0,0,-0.0,2175.8250000000003,25576.953000926875,0,0,-32475
t6,3947.8732091859997,0.0,-0.0,0,-0.0,2174.82,24884.00032311087,0,0,-32460
t7,3608.830820936,0.0,-0.0,0,-0.0,2784.922,33718.94071136088,0,0,-41566
t8,2930.761601166667,0.0,-0.0,0,-0.0,3431.405,43399.52693113022,0,0,-51215
t9,3609.7199784626664,0.0,-0.0,0,-0.0,3598.302,45044.67155383421,0,0,-53706
t10,4288.6948961826665,0.0,-0.0,0,-0.0,3624.901,44736.0976361142,0,0,-54103
t11,3610.608815344,0.0,-0.0,0,-0.0,3647.748,45732.33671695287,0,0,-54444
t12,3610.9859046439997,0.0,-0.0,0,-0.0,3648.15,45737.55762765287,0,0,-54450
t13,2932.846351477333,0.0,-0.0,0,-0.0,3622.221,46054.62618081954,0,0,-54063
t14,3611.807648365333,0.0,-0.0,0,-0.0,3598.6369999999997,45047.24888393155,0,0,-53711
t15,4290.762669765333,0.0,-0.0,0,-0.0,3643.862,44998.06886253154,0,0,-54386
t16,3612.499330496,0.0,-0.0,0,-0.0,3795.349,47785.84520180088,0,0,-56647
t17,3273.7848570039996,0.0,-0.0,0,-0.0,3964.4570000000003,50479.45167529288,0,0,-59171
t18,3952.742490868,0.0,-0.0,0,-0.0,4047.9390000000003,50963.012041428876,0,0,-60417
t19,3273.8405602679995,0.0,-0.0,0,-0.0,4085.794,52169.05897202888,0,0,-60982
t20,3444.9207563499995,0.0,-0.0,0,-0.0,4016.7839999999997,51036.98877594688,0,0,-59952
t21,4123.880464534,0.0,-0.0,0,-0.0,3902.4150000000004,48765.39806776288,0,0,-58245
t22,3614.9627636960004,0.0,-0.0,0,-0.0,3738.6,46993.13076860088,0,0,-55800
t23,3276.259876532,0.0,-0.0,0,-0.0,3579.944,45122.489655764875,0,0,-53432
t24,3955.219330116,0.0,-0.0,0,-0.0,3417.402,42180.07220218088,0,0,-51006
t25,3616.226365616,0.0,-0.0,0,-0.0,3302.5640000000003,40919.90316668088,0,0,-49292
t26,3616.753400956,0.0,-0.0,0,-0.0,3268.394,40443.546131340874,0,0,-48782
t27,3617.0821821840004,0.0,-0.0,0,-0.0,3280.722,40614.88935011288,0,0,-48966
t28,3617.4386272560005,0.0,-0.0,0,-0.0,3238.5119999999997,40026.742905040875,0,0,-48336
t29,3617.986833664,0.0,-0.0,0,-0.0,3290.169,40745.53769863288,0,0,-49107
t30,3278.9814820980005,0.0,-0.0,0,-0.0,3435.157,43103.555050198884,0,0,-51271
t31,3957.9593901620005,0.0,-0.0,0,-0.0,3750.4590000000003,46815.27514213488,0,0,-55977
t32,3279.9441286419997,0.0,-0.0,0,-0.0,4119.428,52631.321403654874,0,0,-61484
t33,3958.9012929699998,0.0,-0.0,0,-0.0,4276.141,54134.651239326886,0,0,-63823
t34,3619.9159212960003,0.0,-0.0,0,-0.0,4314.196999999999,55003.58061100088,0,0,-64391
t35,3620.47373076,0.0,-0.0,0,-0.0,4307.295999999999,54906.92380153688,0,0,-64288
t36,3620.7955767639996,0.0,-0.0,0,-0.0,4269.977000000001,54386.92095553288,0,0,-63731
t37,3621.1388309320005,0.0,-0.0,0,-0.0,4218.521,53670.03370136488,0,0,-62963
t38,2943.043653429333,0.0,-0.0,0,-0.0,4186.964,53908.685878867545,0,0,-62492
t39,3622.001441661333,0.0,-0.0,0,-0.0,4247.264,54069.42809063555,0,0,-63392
t40,4300.978264861334,0.0,-0.0,0,-0.0,4463.338999999999,56399.376267435546,0,0,-66617
t41,3622.906570668,0.0,-0.0,0,-0.0,4684.841,60161.94596162888,0,0,-69923
t42,3623.2167909119994,0.0,-0.0,0,-0.0,4801.689,61788.78774138487,0,0,-71667
t43,3623.593110056,0.0,-0.0,0,-0.0,4822.526,62078.57442224088,0,0,-71978
t44,3284.818535644,0.0,-0.0,0,-0.0,4741.858,61294.01699665288,0,0,-70774
t45,3963.7780476519997,0.0,-0.0,0,-0.0,4572.348,58254.567484644875,0,0,-68244
t46,3285.5986260459995,0.0,-0.0,0,-0.0,4359.5560000000005,55969.538906250884,0,0,-65068
t47,3964.5559286619996,0.0,-0.0,0,-0.0,4064.421,51180.71660363488,0,0,-60663
t48,3625.6455491039997,0.0,-0.0,0,-0.0,3218.144,39734.90398319288,0,0,-48032
t49,3625.9938236880002,0.0,-0.0,0,-0.0,2572.4649999999997,30743.23470860888,0,0,-38395
t50,3626.6470276359996,0.0,-0.0,0,-0.0,2231.1,25988.94650466087,0,0,-33300
t51,3626.834828896,0.0,-0.0,0,-0.0,2143.464,24768.394703400874,0,0,-31992
t52,3627.1821507760005,0.0,-0.0,0,-0.0,2352.705,27681.806381520877,0,0,-35115
t53,3288.530569466,0.0,-0.0,0,-0.0,2934.667,36124.49596283088,0,0,-43801
t54,3967.490721458,0.0,-0.0,0,-0.0,3733.1730000000007,46565.029810838874,0,0,-55719
t55,3628.501939288,0.0,-0.0,0,-0.0,4393.257,56095.934593008875,0,0,-65571
t56,3629.039146792,0.0,-0.0,0,-0.0,4883.63,62924.02438550488,0,0,-72890
t57,3290.045011924,0.0,-0.0,0,-0.0,4995.6539999999995,64822.99452037288,0,0,-74562
t58,3969.018606796,0.0,-0.0,0,-0.0,4914.852000000001,63018.822925500885,0,0,-73356
t59,3630.2413859480002,0.0,-0.0,0,-0.0,4824.871,62104.58114634887,0,0,-72013
t60,3291.21475262,0.0,-0.0,0,-0.0,4746.012,61345.46677967687,0,0,-70836
t61,3970.1932079400003,0.0,-0.0,0,-0.0,4669.2970000000005,59598.20332435687,0,0,-69691
t62,3291.277194476,0.0,-0.0,0,-0.0,4616.434,59540.982337820875,0,0,-68902
