Region,Resource,Zone,Cluster,AnnualSum
USA_Single,biomass,1,1,4.56671e7
USA_Single,conventional_hydroelectric,1,1,8.53423e8
USA_Single,conventional_steam_coal1,1,1,2.5808293e8
USA_Single,conventional_steam_coal2,1,3,5.2342788e7
USA_Single,conventional_steam_coal3,1,5,1.7390902e8
USA_Single,conventional_steam_coal4,1,7,0.0
USA_Single,conventional_steam_coal5,1,8,5.311916e8
USA_Single,conventional_steam_coal6,1,9,4.8063414e8
USA_Single,conventional_steam_coal7,1,11,1.19050136e8
USA_Single,conventional_steam_coal8,1,12,4.370629e8
USA_Single,conventional_steam_coal9,1,14,2.9094237e8
USA_Single,conventional_steam_coal10,1,16,6.1495456e8
USA_Single,conventional_steam_coal11,1,17,0.0
USA_Single,conventional_steam_coal12,1,18,3.8711024e8
USA_Single,conventional_steam_coal13,1,19,2.3190816e8
USA_Single,conventional_steam_coal14,1,20,1.01074136e8
USA_Single,conventional_steam_coal15,1,21,7.976391e7
USA_Single,geothermal,1,1,3.2782684e7
USA_Single,hydroelectric_pumped_storage,1,1,0.0
USA_Single,natural_gas_fired_combined_cycle1,1,1,0.0
USA_Single,natural_gas_fired_combined_cycle2,1,2,2.0977115e9
USA_Single,natural_gas_fired_combined_cycle3,1,3,4.1945664e8
USA_Single,natural_gas_fired_combined_cycle4,1,4,2.1173079e9
USA_Single,natural_gas_fired_combined_cycle5,1,5,0.0
USA_Single,natural_gas_fired_combined_cycle6,1,6,0.0
USA_Single,natural_gas_fired_combustion_turbine1,1,1,6.6406804e7
USA_Single,natural_gas_fired_combustion_turbine2,1,2,0.0
USA_Single,natural_gas_fired_combustion_turbine3,1,3,0.0
USA_Single,natural_gas_fired_combustion_turbine4,1,5,0.0
USA_Single,natural_gas_fired_combustion_turbine5,1,6,0.0
USA_Single,natural_gas_steam_turbine1,1,1,1.8441064e7
USA_Single,natural_gas_steam_turbine2,1,2,4.1974156e7
USA_Single,nuclear,1,1,0.0
USA_Single,onshore_wind_turbine,1,1,8.625539e8
USA_Single,small_hydroelectric,1,1,5.4864948e7
USA_Single,solar_photovoltaic,1,1,3.2624646e8
USA_Single,naturalgas_ccavgcf_mid,1,0,1.2383244e9
USA_Single,naturalgas_ctavgcf_mid,1,0,0.0
USA_Single,battery_mid,1,0,6.858196e8
USA_Single,nuclear_mid,1,0,0.0
USA_Single,naturalgas_ccs100_mid,1,0,0.0
USA_Single,landbasedwind_ltrg1_mid_40_1,1,1,0.0
USA_Single,landbasedwind_ltrg1_mid_40_2,1,2,0.0
USA_Single,landbasedwind_ltrg1_mid_40_3,1,3,0.0
USA_Single,landbasedwind_ltrg1_mid_40_4,1,4,0.0
USA_Single,landbasedwind_ltrg1_mid_40_5,1,5,0.0
USA_Single,landbasedwind_ltrg1_mid_40_6,1,6,0.0
USA_Single,landbasedwind_ltrg1_mid_40_7,1,7,0.0
USA_Single,landbasedwind_ltrg1_mid_40_8,1,8,0.0
USA_Single,landbasedwind_ltrg1_mid_40_9,1,9,0.0
USA_Single,landbasedwind_ltrg1_mid_40_10,1,10,0.0
USA_Single,landbasedwind_ltrg1_mid_40_11,1,11,0.0
USA_Single,landbasedwind_ltrg1_mid_40_12,1,12,0.0
USA_Single,landbasedwind_ltrg1_mid_40_13,1,13,0.0
USA_Single,landbasedwind_ltrg1_mid_40_14,1,14,0.0
USA_Single,landbasedwind_ltrg1_mid_40_15,1,15,0.0
USA_Single,utilitypv_losangeles_mid_0_2_1,1,1,3.372864e8
USA_Single,utilitypv_losangeles_mid_0_2_2,1,2,4.6031072e8
USA_Single,utilitypv_losangeles_mid_0_2_3,1,3,4.814244e7
USA_Single,utilitypv_losangeles_mid_0_2_4,1,4,4.2485542e8
USA_Single,utilitypv_losangeles_mid_0_2_5,1,5,4.348289e8
USA_Single,utilitypv_losangeles_mid_0_2_6,1,6,8.939683e8
USA_Single,utilitypv_losangeles_mid_0_2_7,1,7,1.3320801e8
USA_Single,utilitypv_losangeles_mid_0_2_8,1,8,6.2457165e8
USA_Single,utilitypv_losangeles_mid_0_2_9,1,9,4.9180902e8
USA_Single,utilitypv_losangeles_mid_0_2_10,1,10,7.0506296e7
USA_Single,utilitypv_losangeles_mid_0_2_11,1,11,3.698884e8
USA_Single,utilitypv_losangeles_mid_0_2_12,1,12,0.0
USA_Single,utilitypv_losangeles_mid_0_2_13,1,13,1.1714269e7
USA_Single,utilitypv_losangeles_mid_0_2_14,1,14,0.0
USA_Single,utilitypv_losangeles_mid_0_2_15,1,15,0.0
