region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
USA_Single,biomass,1,1,1,0.0,0.0,2.3119488e7,0.0,8.4014629725e6,0.0,0.0,0.0,0.0,4.56671e7,0.0,0.0,0.0,0.0,0.0,4.56671e7,3.15209509725e7,1.41461490275e7
USA_Single,conventional_hydroelectric,1,1,2,0.0,0.0,3.645008e8,0.0,0.0,0.0,0.0,0.0,0.0,8.53423e8,0.0,0.0,0.0,0.0,0.0,8.53422976e8,3.645008e8,4.88922176e8
USA_Single,conventional_steam_coal1,1,1,3,0.0,0.0,7.3133564e7,0.0,1.340907553e7,1.412096184287593e8,0.0,0.0,0.0,2.5808293e8,0.0,0.0,0.0,0.0,0.0,2.58082928e8,2.277522579587593e8,3.0330670041240692e7
USA_Single,conventional_steam_coal2,1,3,4,0.0,0.0,1.7600749e7,0.0,3.1523179225e6,3.065646793458546e7,0.0,0.0,0.0,5.2342788e7,0.0,0.0,0.0,0.0,0.0,5.2342788e7,5.140953485708546e7,933253.1429145411
USA_Single,conventional_steam_coal3,1,5,5,0.0,0.0,5.2047669e7,0.0,1.067861338e7,1.0297002785576122e8,0.0,0.0,0.0,1.7390902e8,0.0,0.0,0.0,0.0,0.0,1.73909024e8,1.6569631023576123e8,8.212713764238775e6
USA_Single,conventional_steam_coal4,1,7,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single,conventional_steam_coal5,1,8,7,0.0,0.0,1.29247914e8,0.0,2.9002138080000002e7,2.711585810450935e8,0.0,0.0,0.0,5.311916e8,0.0,0.0,0.0,0.0,0.0,5.31191616e8,4.2940863312509346e8,1.0178298287490654e8
USA_Single,conventional_steam_coal6,1,9,8,0.0,0.0,1.2852385e8,0.0,2.759857782e7,2.6738680020479828e8,0.0,0.0,0.0,4.8063414e8,0.0,0.0,0.0,0.0,0.0,4.80634144e8,4.235092280247983e8,5.7124915975201726e7
USA_Single,conventional_steam_coal7,1,11,9,0.0,0.0,4.2612339e7,0.0,6.5973523950000005e6,6.79052890074308e7,0.0,0.0,0.0,1.19050136e8,0.0,0.0,0.0,0.0,0.0,1.19050136e8,1.171149804024308e8,1.9351555975691974e6
USA_Single,conventional_steam_coal8,1,12,10,0.0,0.0,1.26117266e8,0.0,2.278111818e7,2.2697161549898225e8,0.0,0.0,0.0,4.370629e8,0.0,0.0,0.0,0.0,0.0,4.37062912e8,3.7586999967898226e8,6.119291232101774e7
USA_Single,conventional_steam_coal9,1,14,11,0.0,0.0,6.6737544e7,0.0,1.845816034e7,1.6429422517708912e8,0.0,0.0,0.0,2.9094237e8,0.0,0.0,0.0,0.0,0.0,2.90942368e8,2.4948992951708913e8,4.145243848291087e7
USA_Single,conventional_steam_coal10,1,16,12,0.0,0.0,1.6748955e8,0.0,3.675252864e7,3.368906195161221e8,0.0,0.0,0.0,6.1495456e8,0.0,0.0,0.0,0.0,0.0,6.1495456e8,5.411326981561221e8,7.382186184387791e7
USA_Single,conventional_steam_coal11,1,17,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
