Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
biomass,1,188,0.0,0.0,188.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
conventional_hydroelectric,1,8180,0.0,0.0,8180.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
conventional_steam_coal1,1,1346,0.0,0.0,1346.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
conventional_steam_coal2,1,263,0.0,0.0,263.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
conventional_steam_coal3,1,859,0.0,0.0,859.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
conventional_steam_coal4,1,250,250.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
conventional_steam_coal5,1,2406,0.0,0.0,2406.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
conventional_steam_coal6,1,2350,0.0,0.0,2350.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
conventional_steam_coal7,1,609,0.0,0.0,609.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
conventional_steam_coal8,1,2134,0.0,0.0,2134.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
conventional_steam_coal9,1,1324,0.0,0.0,1324.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
conventional_steam_coal10,1,2802,0.0,0.0,2802.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
conventional_steam_coal11,1,137,137.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
conventional_steam_coal12,1,1728,0.0,0.0,1728.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
conventional_steam_coal13,1,1041,0.0,0.0,1041.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
conventional_steam_coal14,1,556,0.0,0.0,556.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
conventional_steam_coal15,1,375,0.0,0.0,375.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
geothermal,1,192,0.0,0.0,192.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
hydroelectric_pumped_storage,1,2561,0.0,0.0,2561.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0
