,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,4.8607948090516365e8,1.8661712857403487e7,-2.2048337496932283e7,0.0,0.0,113935.68845557836,0.0,0.0,0.0,-4.90597226e8
t1,43895.94735747209,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-44187
t2,42201.06721345366,0.0,-2448.1198559815657,0,-0.0,0.0,0.0,0,0,-40044
t3,42701.05333982166,0.0,-6457.105982349569,0,-0.0,0.0,0.0,0,0,-36535
t4,41915.700934227665,0.0,-7531.753576755574,0,-0.0,0.0,0.0,0,0,-34675
t5,42564.03082939466,0.0,-10380.08347192257,0,-0.0,0.0,0.0,0,0,-32475
t6,41234.808103161304,0.0,-9065.860745689213,0,-0.0,0.0,0.0,0,0,-32460
t7,41468.68779985866,0.0,-193.74044238656677,0,-0.0,0.0,0.0,0,0,-41566
t8,43000.45316543166,7923.494192040438,-0.0,0,-0.0,0.0,0.0,0,0,-51215
t9,42903.96645731533,10510.980900156766,-0.0,0,-0.0,0.0,0.0,0,0,-53706
t10,42361.446064125696,11450.501293346391,-0.0,0,-0.0,0.0,0.0,0,0,-54103
t11,52696.286302062355,1456.6610554097251,-0.0,0,-0.0,0.0,0.0,0,0,-54444
t12,55660.369975507085,0.0,-1501.4226180349913,0,-0.0,0.0,0.0,0,0,-54450
t13,62577.033377674714,0.0,-8805.086020202627,0,-0.0,0.0,0.0,0,0,-54063
t14,59965.07345917816,0.0,-6545.126101706081,0,-0.0,0.0,0.0,0,0,-53711
t15,65919.02044704267,0.0,-11824.073089570571,0,-0.0,0.0,0.0,0,0,-54386
t16,68180.02044704265,0.0,-11824.073089570571,0,-0.0,0.0,0.0,0,0,-56647
t17,65328.395145942995,0.0,-6448.447788470898,0,-0.0,0.0,0.0,0,0,-59171
t18,60125.94735747209,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-60417
t19,60690.94735747209,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-60982
t20,58496.73678736045,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-59952
t21,52659.76539683563,4129.971390524821,-0.0,0,-0.0,0.0,0.0,0,0,-58245
t22,47675.01645361612,6669.720333744332,-0.0,0,-0.0,0.0,0.0,0,0,-55800
t23,51976.73678736044,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-53432
t24,49550.73678736044,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-51006
t25,47836.736787360445,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-49292
t26,47326.73678736044,0.0,-0.0,0,-0.0,0.0,0.0,0,0,-48782
