Region,Resource,Zone,Cluster,AnnualSum
NENGREST,NENGREST_biomass_1,1,1,0.0
NENGREST,NENGREST_conventional_hydroelectric_1,1,1,0.0
NENGREST,NENGREST_hydroelectric_pumped_storage_1,1,1,0.0
NENGREST,NENGREST_natural_gas_fired_combined_cycle_1,1,1,0.0
NENGREST,NENGREST_natural_gas_fired_combined_cycle_2,1,2,0.0
NENGREST,NENGREST_natural_gas_fired_combustion_turbine_1,1,1,0.0
NENGREST,NENGREST_natural_gas_fired_combustion_turbine_2,1,2,0.0
NENGREST,NENGREST_natural_gas_steam_turbine_1,1,1,0.0
NENGREST,NENGREST_nuclear_1,1,1,0.0
NENGREST,NENGREST_offshore_wind_turbine_1,1,1,0.0
NENGREST,NENGREST_onshore_wind_turbine_1,1,1,0.0
NENGREST,NENGREST_small_hydroelectric_1,1,1,0.0
NENGREST,NENGREST_solar_photovoltaic_1,1,1,0.0
NENG_CT,NENG_CT_biomass_1,2,1,0.0
NENG_CT,NENG_CT_conventional_hydroelectric_1,2,1,0.0
NENG_CT,NENG_CT_hydroelectric_pumped_storage_1,2,1,0.0
NENG_CT,NENG_CT_natural_gas_fired_combined_cycle_1,2,1,0.0
NENG_CT,NENG_CT_natural_gas_fired_combined_cycle_2,2,2,0.0
NENG_CT,NENG_CT_natural_gas_fired_combustion_turbine_1,2,1,0.0
NENG_CT,NENG_CT_natural_gas_fired_combustion_turbine_2,2,2,0.0
NENG_CT,NENG_CT_nuclear_1,2,1,0.0
NENG_CT,NENG_CT_onshore_wind_turbine_1,2,1,0.0
NENG_CT,NENG_CT_small_hydroelectric_1,2,1,0.0
NENG_CT,NENG_CT_solar_photovoltaic_1,2,1,0.0
NENG_ME,NENG_ME_biomass_1,3,1,0.0
NENG_ME,NENG_ME_conventional_hydroelectric_1,3,1,0.0
NENG_ME,NENG_ME_natural_gas_fired_combined_cycle_1,3,1,0.0
NENG_ME,NENG_ME_natural_gas_fired_combined_cycle_2,3,2,0.0
NENG_ME,NENG_ME_natural_gas_fired_combustion_turbine_1,3,1,0.0
NENG_ME,NENG_ME_onshore_wind_turbine_1,3,1,0.0
NENG_ME,NENG_ME_small_hydroelectric_1,3,1,0.0
NENG_ME,NENG_ME_solar_photovoltaic_1,3,1,0.0
NENGREST,NENGREST_naturalgas_ccccsavgcf_mid_0,1,0,0.0
NENGREST,NENGREST_naturalgas_ccavgcf_mid_0,1,0,0.0
NENGREST,NENGREST_naturalgas_ctavgcf_mid_0,1,0,0.0
NENGREST,NENGREST_battery_mid_0,1,0,2.1183835e8
NENGREST,NENGREST_naturalgas_ccs100_mid_0,1,0,0.0
NENGREST,NENGREST_landbasedwind_ltrg1_mid_130_1,1,1,0.0
NENGREST,NENGREST_utilitypv_losangeles_mid_80_0_2_1,1,1,8.051146e8
NENGREST,NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,1,1,0.0
NENG_CT,NENG_CT_naturalgas_ccccsavgcf_mid_0,2,0,0.0
NENG_CT,NENG_CT_naturalgas_ccavgcf_mid_0,2,0,0.0
NENG_CT,NENG_CT_naturalgas_ctavgcf_mid_0,2,0,0.0
NENG_CT,NENG_CT_battery_mid_0,2,0,1.1640229e8
NENG_CT,NENG_CT_naturalgas_ccs100_mid_0,2,0,0.0
NENG_CT,NENG_CT_landbasedwind_ltrg1_mid_110_1,2,1,0.0
NENG_CT,NENG_CT_utilitypv_losangeles_mid_80_0_2_1,2,1,4.0318336e8
NENG_CT,NENG_CT_offshorewind_otrg3_mid_fixed_1_176_77_1,2,1,0.0
NENG_ME,NENG_ME_naturalgas_ccccsavgcf_mid_0,3,0,0.0
NENG_ME,NENG_ME_naturalgas_ccavgcf_mid_0,3,0,0.0
NENG_ME,NENG_ME_naturalgas_ctavgcf_mid_0,3,0,0.0
NENG_ME,NENG_ME_battery_mid_0,3,0,0.0
NENG_ME,NENG_ME_naturalgas_ccs100_mid_0,3,0,0.0
NENG_ME,NENG_ME_landbasedwind_ltrg1_mid_110_1,3,1,0.0
NENG_ME,NENG_ME_utilitypv_losangeles_mid_100_0_2_1,3,1,1.820027e8
NENGREST,NENGREST_heat_load_shifting_1,1,1,0.0
NENG_CT,NENG_CT_heat_load_shifting_1,2,1,0.0
NENG_ME,NENG_ME_heat_load_shifting_1,3,1,0.0
