Resource,Zone,StartCap,RetCap,NewCap,EndCap
NGCT,1,954.0,0.0,7878.778430363278,8832.778430363278
NGST,1,528.0,0.0,4328.677276182892,4856.677276182892
Adsorber,1,442.0,0.0,109.99999999999868,551.9999999999987
Compressor,1,42.7,0.0,0.025450255999918958,42.725450255999924
Regenerator,1,552.0,0.0,0.0,552.0
Rich,1,6122.0,6122.0,0.0,0.0
Lean,1,6122.0,6122.00000000002,0.0,-2.042810365310288e-11
BOP,1,1482.0,0.0,12207.45570654617,13689.45570654617
NGCT,2,954.0,0.0,1602.287034052569,2556.2870340525687
NGST,2,528.0,0.0,859.5667161993156,1387.5667161993156
Adsorber,2,442.0,0.0,110.00000000000121,552.0000000000011
Compressor,2,42.7,0.0,0.025450256000050797,42.72545025600005
Regenerator,2,552.0,0.0,0.0,552.0
Rich,2,6122.0,6122.0,0.0,0.0
Lean,2,6122.0,6122.0,0.0,0.0
BOP,2,1482.0,0.0,2461.853750251885,3943.8537502518843
NGCT,3,954.0,0.0,239.2119856199921,1193.211985619992
NGST,3,528.0,0.0,106.17477379227951,634.1747737922794
Adsorber,3,442.0,0.0,109.99999999999925,551.9999999999993
Compressor,3,42.7,0.0,0.025450255999863447,42.72545025599987
Regenerator,3,552.0,0.0,0.0,552.0
Rich,3,6122.0,6121.999999999062,0.0,9.379164112033322e-10
Lean,3,6122.0,6122.0,0.0,0.0
BOP,3,1482.0,0.0,345.3867594122716,1827.3867594122714
Total,n/a,48734.1,36731.99999999908,30359.46878318865,42361.56878318958
