,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
AnnualSum,0.0,0.0,0.0,0.0,0.0,48580.163764007724,38049.39975620882,686586.6867034184,-6823.348984474817,-1.7787361021428574e7,0.0,0.0,0.0,0.0,0.0,13585.32811491874,10152.751756874373,680.8744355381164,-5.580351294017747,-5.079916369047619e6,100730.49986999841,0.0,0.0,0.0,0.0,6210.309425170071,3931.593187080254,-687267.5611389566,-6817.7686331808,-2.424938704761905e6
t1,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,394.18138616006945,-3.873590326918961,-8972.145257946117,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2562.2768493591557,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-394.18138616006945,-3.873590326918961,-1223.780423919134
t2,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,433.7320027102383,-4.2622512101353065,-8678.228388977903,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2478.3013491003826,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-433.7320027102383,-4.2622512101353065,-1183.8411464857897
t3,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,454.0143701718424,-4.4615644835793775,-8536.902507731862,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2437.337690437566,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-454.0143701718424,-4.4615644835793775,-1163.3594657507413
t4,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,462.12731715648437,-4.541289792957008,-8474.432371818757,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2420.95222697244,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-462.12731715648437,-4.541289792957008,-1155.166793456722
t5,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,454.01437017184253,-4.461564483579381,-8530.757904199427,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2436.313598970996,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-454.01437017184253,-4.461564483579381,-1163.3594657507413
t6,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,423.59081897943605,-4.162594573413268,-8763.228737843276,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2502.8795442980722,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-423.59081897943605,-4.162594573413268,-1194.081986853314
t7,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,366.80019008694427,-3.604517407769861,-9174.917174516524,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2620.650062953669,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-366.80019008694427,-3.604517407769861,-1251.4306929114491
t8,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,305.9530877021487,-3.0065775874378056,-9625.521433561871,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2748.66149627497,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-305.9530877021487,-3.0065775874378056,-1312.875735116594
t9,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,302.9905843495937,-2.9774652936237542,-10222.572076796958,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2918.6606797256572,77.91102325708867,0.0,-0.0,0.0,-0.0,0.0,0.0,-302.9905843495937,-2.9774652936237542,-1393.7783740200346
t10,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,302.3430018573165,-2.9711015500122038,-10590.224188154412,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-3024.1421007824083,127.43719482206795,0.0,-0.0,0.0,-0.0,0.0,0.0,-302.3430018573165,-2.9711015500122038,-1443.9584918209027
t11,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,307.4668716075036,-3.0214534260712584,-10735.64647175541,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-3066.129850911796,152.06901314662673,0.0,-0.0,0.0,-0.0,0.0,0.0,-307.4668716075036,-3.0214534260712584,-1463.4160885191986
t12,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,324.25571981780047,-3.1864361530869614,-10733.598270577932,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-3065.105759445225,167.99876004717004,0.0,-0.0,0.0,-0.0,0.0,0.0,-324.25571981780047,-3.1864361530869614,-1462.392004482446
t13,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,323.5390910047101,-3.179393896562825,-10669.079933487348,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-3046.6721130469577,159.08241668351994,0.0,-0.0,0.0,-0.0,0.0,0.0,-323.5390910047101,-3.179393896562825,-1454.1993321884268
t14,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,312.3792895379155,-3.0697273812734456,-10588.175986976934,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-3024.1421007824083,136.5480242971514,0.0,-0.0,0.0,-0.0,0.0,0.0,-312.3792895379155,-3.0697273812734456,-1442.9344077841504
t15,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,304.85048350681205,-2.9957423803594536,-10556.42886872601,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-3014.9252775832747,124.84889711814853,0.0,-0.0,0.0,-0.0,0.0,0.0,-304.85048350681205,-2.9957423803594536,-1438.8380716371407
t16,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,269.268398375359,-2.646079951802176,-10574.862679323322,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-3020.045734916127,91.98940166839532,0.0,-0.0,0.0,-0.0,0.0,0.0,-269.268398375359,-2.646079951802176,-1441.9103237473978
t17,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,155.56210696866935,-1.5286969246799311,-11068.479163095724,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-3160.346265836273,44.755273660268436,0.0,-0.0,0.0,-0.0,0.0,0.0,-155.56210696866935,-1.5286969246799311,-1509.4998701730574
t18,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,12.872877881951176,-0.12650078617077593,-11804.807486399372,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-3371.3091079497763,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-12.872877881951176,-0.12650078617077593,-1608.8360217380414
t19,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,11.858759508870799,-0.11653512249857126,-11808.903888754332,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-3372.333199416347,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-11.858759508870799,-0.11653512249857126,-1609.860105774794
t20,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,40.25407395511672,-0.39557370532027414,-11592.81866453031,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-3310.8877114221227,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-40.25407395511672,-0.39557370532027414,-1581.1857527457262
t21,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,98.05882122068871,-0.9636165346358847,-11167.816920203448,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-3190.0449183668147,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-98.05882122068871,-0.9636165346358847,-1522.8129626508387
t22,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,193.38594829021244,-1.90038891982287,-10468.356218094421,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2990.3470823855855,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-193.38594829021244,-1.90038891982287,-1426.5490631961118
t23,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,298.8542590905707,-2.936817941732216,-9685.9433682975,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2766.0710512066667,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-298.8542590905707,-2.936817941732216,-1320.0443233738608
t24,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,405.3366882639922,-3.9832126273135984,-8892.265412024442,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2538.7227456280366,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-405.3366882639922,-3.9832126273135984,-1212.5154995148573
t25,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,482.40968461808825,-4.740603066401082,-8321.84138409658,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-2376.9162939099124,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-482.40968461808825,-4.740603066401082,-1134.6851127216742
