R_ID,Zone,FLECCS_NO,Resource,Existing_Cap_Unit,TURBINE,COMPRESSOR,PCC,STORAGE,HEATPUMP,BOP,THERM,DISP,NDISP,STOR,Commit,Min_Share,Max_Share,Existing_Cap_MW,Existing_Cap_MWh,New_Build,Num_unit,Cap_Size,Min_Cap_MW,Max_Cap_MW,Min_Share_percent,Max_Share_percent,Var_OM_Cost_per_Unit,Var_OM_cost_per_MWh_in,Inv_Cost_per_Unityr,Inv_Cost_per_Unityr_copy,Fixed_OM_Cost_per_Unityr,Start_Cost_per_Unit,Start_Fuel_MMBTU_per_Unit,Fuel,Min_Power,Self_disch,Eff_up,Eff_down,Ratio_power_to_energy,Min_Duration,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time
1,1,1,NGCT,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,477,0,-1,0,0,1.67,0,52040.39441,52040.39441,5204.039441,95,0,MA_NG,0.2,0,1,1,0,0,0.64,0.64,6,6
1,1,2,NGST,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,264,0,-1,0,0,1.67,0,44377.42396,44377.42396,4437.742396,95,0,None,0.2,0,1,1,0,0,0.64,0.64,6,6
1,1,3,PCC,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,2,250,0,-1,0,0,11.2,0,325274.0499,325274.0499,32527.40499,14.16983529,0,None,0.2,0,1,1,0,0,0.64,0.64,6,6
1,1,4,Compressor,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,30,0,-1,0,0,0,0,417668.717,417668.717,41766.8717,0,0,None,0.2,0,1,1,0,0,0.64,0.64,6,6
1,1,5,Hot,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3169.6,0,-1,0,0,0,0,1307.010127,1307.010127,130.7010127,0,0,None,0,0,1,1,0,0,1,1,0,0
1,1,6,Cold,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-1,2,292,0,-1,0,0,0,0,5001.555572,5001.555572,500.1555572,0,0,None,0,0,1,1,0,0,1,1,0,0
1,1,7,HeatPump,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,2,8.284464,0,-1,0,0,0,0,77281.9931,77281.9931,7728.19931,0,0,None,0,0,1,1,0,0,1,1,0,0
1,1,8,BOP,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,741,0,-1,0,0,0,0,51097.69443,51097.69443,5109.769443,0,0,None,0,0,1,1,0,0,1,1,0,0
2,2,1,NGCT,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,477,0,-1,0,0,1.67,0,52040.39441,52040.39441,5204.039441,95,0,CT_NG,0.2,0,1,1,0,0,0.64,0.64,6,6
2,2,2,NGST,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,264,0,-1,0,0,1.67,0,44377.42396,44377.42396,4437.742396,95,0,None,0.2,0,1,1,0,0,0.64,0.64,6,6
2,2,3,PCC,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,2,250,0,-1,0,0,11.2,0,325274.0499,325274.0499,32527.40499,14.16983529,0,None,0.2,0,1,1,0,0,0.64,0.64,6,6
2,2,4,Compressor,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,30,0,-1,0,0,0,0,417668.717,417668.717,41766.8717,0,0,None,0.2,0,1,1,0,0,0.64,0.64,6,6
2,2,5,Hot,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3169.6,0,-1,0,0,0,0,1307.010127,1307.010127,130.7010127,0,0,None,0,0,1,1,0,0,1,1,0,0
2,2,6,Cold,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-1,2,292,0,-1,0,0,0,0,5001.555572,5001.555572,500.1555572,0,0,None,0,0,1,1,0,0,1,1,0,0
2,2,7,HeatPump,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,2,8.284464,0,-1,0,0,0,0,77281.9931,77281.9931,7728.19931,0,0,None,0,0,1,1,0,0,1,1,0,0
2,2,8,BOP,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,741,0,-1,0,0,0,0,51097.69443,51097.69443,5109.769443,0,0,None,0,0,1,1,0,0,1,1,0,0
3,3,1,NGCT,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,477,0,-1,0,0,1.67,0,52040.39441,52040.39441,5204.039441,95,0,ME_NG,0.2,0,1,1,0,0,0.64,0.64,6,6
3,3,2,NGST,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,264,0,-1,0,0,1.67,0,44377.42396,44377.42396,4437.742396,95,0,None,0.2,0,1,1,0,0,0.64,0.64,6,6
3,3,3,PCC,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,2,250,0,-1,0,0,11.2,0,325274.0499,325274.0499,32527.40499,14.16983529,0,None,0.2,0,1,1,0,0,0.64,0.64,6,6
3,3,4,Compressor,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,2,30,0,-1,0,0,0,0,417668.717,417668.717,41766.8717,0,0,None,0.2,0,1,1,0,0,0.64,0.64,6,6
3,3,5,Hot,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3169.6,0,-1,0,0,0,0,1307.010127,1307.010127,130.7010127,0,0,None,0,0,1,1,0,0,1,1,0,0
3,3,6,Cold,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-1,2,292,0,-1,0,0,0,0,5001.555572,5001.555572,500.1555572,0,0,None,0,0,1,1,0,0,1,1,0,0
3,3,7,HeatPump,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,2,8.284464,0,-1,0,0,0,0,77281.9931,77281.9931,7728.19931,0,0,None,0,0,1,1,0,0,1,1,0,0
3,3,8,BOP,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,741,0,-1,0,0,0,0,51097.69443,51097.69443,5109.769443,0,0,None,0,0,1,1,0,0,1,1,0,0
