Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
9000,1,1,1,9000,1,168,1,1,13223.19555
,2,0.067,0.075,603,,,,2,12610.3619
,,,,,,,,3,12153.13568
,,,,,,,,4,11847.41171
,,,,,,,,5,11751.2585
,,,,,,,,6,11874.68516
,,,,,,,,7,12143.90136
,,,,,,,,8,12191.09098
,,,,,,,,9,12565.68249
,,,,,,,,10,12916.35174
,,,,,,,,11,13235.36859
,,,,,,,,12,13343.96736
,,,,,,,,13,13348.10938
,,,,,,,,14,13308.67108
,,,,,,,,15,13277.96356
,,,,,,,,16,13385.57461
,,,,,,,,17,13943.6101
,,,,,,,,18,15933.52914
,,,,,,,,19,16348.56313
,,,,,,,,20,16125.48162
,,,,,,,,21,15752.65815
,,,,,,,,22,15155.70295
,,,,,,,,23,14207.4892
,,,,,,,,24,13170.26927
,,,,,,,,25,12354.94051
,,,,,,,,26,11837.32523
,,,,,,,,27,11549.46883
,,,,,,,,28,11477.74482
,,,,,,,,29,11659.70398
,,,,,,,,30,12154.74618
,,,,,,,,31,12855.64694
,,,,,,,,32,13268.88408
,,,,,,,,33,13868.18723
,,,,,,,,34,14460.04523
,,,,,,,,35,14923.09893
,,,,,,,,36,15026.69414
,,,,,,,,37,14951.2476
,,,,,,,,38,14875.59189
,,,,,,,,39,14853.0456
,,,,,,,,40,14922.71864
,,,,,,,,41,15369.16961
,,,,,,,,42,17257.66423
,,,,,,,,43,17614.58402
,,,,,,,,44,17291.64517
,,,,,,,,45,16778.22847
,,,,,,,,46,15906.09012
,,,,,,,,47,14662.15217
,,,,,,,,48,13373.31788
,,,,,,,,49,12481.1857
,,,,,,,,50,11992.53181
,,,,,,,,51,11762.1574
,,,,,,,,52,11725.07581
,,,,,,,,53,12105.55633
,,,,,,,,54,13068.70571
,,,,,,,,55,14568.35324
,,,,,,,,56,15444.68144
,,,,,,,,57,15857.97443
,,,,,,,,58,16224.61952
,,,,,,,,59,16492.86284
,,,,,,,,60,16550.0818
,,,,,,,,61,16501.51676
,,,,,,,,62,16517.2086
,,,,,,,,63,16425.31049
,,,,,,,,64,16193.6599
,,,,,,,,65,16443.6754
,,,,,,,,66,18118.17209
,,,,,,,,67,18348.07131
,,,,,,,,68,17953.3792
,,,,,,,,69,17346.53755
,,,,,,,,70,16375.06362
,,,,,,,,71,15090.17065
,,,,,,,,72,13895.50272
,,,,,,,,73,13062.39926
,,,,,,,,74,12526.91502
,,,,,,,,75,12244.33457
,,,,,,,,76,12199.41145
,,,,,,,,77,12536.08443
,,,,,,,,78,13507.17365
,,,,,,,,79,14968.87338
,,,,,,,,80,15818.27446
,,,,,,,,81,16152.91206
,,,,,,,,82,16397.6581
,,,,,,,,83,16612.00878
,,,,,,,,84,16727.77672
,,,,,,,,85,16721.96758
,,,,,,,,86,16782.79696
,,,,,,,,87,16710.31094
,,,,,,,,88,16620.95764
,,,,,,,,89,16824.1513
,,,,,,,,90,18342.0133
,,,,,,,,91,18465.10455
,,,,,,,,92,18003.68701
,,,,,,,,93,17392.34028
,,,,,,,,94,16395.90545
,,,,,,,,95,15101.49526
,,,,,,,,96,13896.71988
,,,,,,,,97,13106.93237
,,,,,,,,98,12544.94931
,,,,,,,,99,12244.85182
,,,,,,,,100,12216.23809
,,,,,,,,101,12581.79748
,,,,,,,,102,13487.37724
,,,,,,,,103,14981.29534
,,,,,,,,104,15707.39716
,,,,,,,,105,16109.05298
,,,,,,,,106,16408.79259
,,,,,,,,107,16563.32709
,,,,,,,,108,16707.97456
,,,,,,,,109,16715.8565
,,,,,,,,110,16749.46381
,,,,,,,,111,16683.4122
,,,,,,,,112,16565.53427
,,,,,,,,113,16679.08425
,,,,,,,,114,18137.28135
,,,,,,,,115,18320.80885
,,,,,,,,116,17846.24558
,,,,,,,,117,17267.96106
,,,,,,,,118,16445.01799
,,,,,,,,119,15144.12751
,,,,,,,,120,13924.39336
,,,,,,,,121,13132.07046
,,,,,,,,122,12578.54365
,,,,,,,,123,12278.91655
,,,,,,,,124,12235.41726
,,,,,,,,125,12559.77622
,,,,,,,,126,13480.97613
,,,,,,,,127,14949.6239
,,,,,,,,128,15739.63617
,,,,,,,,129,16150.09161
,,,,,,,,130,16314.86752
,,,,,,,,131,16460.25064
,,,,,,,,132,16459.33972
,,,,,,,,133,16320.97784
,,,,,,,,134,16256.02162
,,,,,,,,135,16109.63434
,,,,,,,,136,15953.01322
,,,,,,,,137,16166.62004
,,,,,,,,138,17695.80833
,,,,,,,,139,17809.93634
,,,,,,,,140,17349.55471
,,,,,,,,141,16877.94296
,,,,,,,,142,16094.64267
,,,,,,,,143,15056.63417
