Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
USA_Single_biomass_1.0,1,1066.53,0.0,0.0,1066.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single_conventional_hydroelectric_1.0,1,71031.744,0.0,0.0,71031.744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single_conventional_steam_coal_1.0,1,11477.992,11477.992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single_conventional_steam_coal_2.0,1,1737.0,1737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single_conventional_steam_coal_3.0,1,260.0,260.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single_conventional_steam_coal_4.0,1,7756.2,7756.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single_conventional_steam_coal_5.0,1,815.004,815.0040000000001,0.0,-1.1102230246251565e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single_conventional_steam_coal_6.0,1,11064.6,11064.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single_conventional_steam_coal_7.0,1,18.8,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single_conventional_steam_coal_8.0,1,59.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single_conventional_steam_coal_9.0,1,2810.5,2810.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single_conventional_steam_coal_10.0,1,9.4,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single_conventional_steam_coal_11.0,1,135.9,135.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single_conventional_steam_coal_12.0,1,10555.402,10555.402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single_conventional_steam_coal_13.0,1,3483.204,3483.2039999999997,0.0,4.440892098500626e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single_conventional_steam_coal_14.0,1,5308.2,5308.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single_conventional_steam_coal_15.0,1,17.5,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single_conventional_steam_coal_16.0,1,3382.4,3382.4000000000005,0.0,-4.440892098500626e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single_conventional_steam_coal_17.0,1,27.8,27.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single_conventional_steam_coal_18.0,1,119.5,119.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single_conventional_steam_coal_19.0,1,4692.996,4692.996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single_conventional_steam_coal_20.0,1,1968.999,1968.9989999999998,0.0,2.220446049250313e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single_conventional_steam_coal_21.0,1,1118.803,1118.803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single_conventional_steam_coal_22.0,1,92.3,92.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single_geothermal_1.0,1,1903.624,0.0,0.0,1903.624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single_hydroelectric_pumped_storage_1.0,1,22203.682,22203.682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single_natural_gas_fired_combined_cycle_1.0,1,4243.193,4243.193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single_natural_gas_fired_combined_cycle_2.0,1,111557.268,111557.268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single_natural_gas_fired_combined_cycle_3.0,1,100735.112,100735.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single_natural_gas_fired_combined_cycle_4.0,1,1919.189,1919.189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single_natural_gas_fired_combined_cycle_5.0,1,2522.8,2522.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single_natural_gas_fired_combined_cycle_6.0,1,8983.106,8983.106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single_natural_gas_fired_combined_cycle_7.0,1,125.1,125.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single_natural_gas_fired_combined_cycle_8.0,1,13825.692,13825.692000000001,0.0,-1.7763568394002505e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single_natural_gas_fired_combustion_turbine_1.0,1,14682.15,14682.150000000001,0.0,-1.7763568394002505e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single_natural_gas_fired_combustion_turbine_2.0,1,60746.752,60746.75199999999,0.0,7.105427357601002e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USA_Single_natural_gas_fired_combustion_turbine_3.0,1,7145.523,7145.523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
