,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,14829.701470609409,64.85258644224658,-74.40530002784742,0.0,0.0,0.0,0.0,0.0,0.0,-14820.14875702381
t1,12908.037546222342,315.15800377765703,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13223.19555
t2,12610.361899999998,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12610.3619
t3,12495.698727584408,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-12153.13568
t4,11847.411709999998,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11847.41171
t5,11461.313136524555,289.9453634754445,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11751.2585
t6,11874.685160000003,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11874.68516
t7,12143.901360000002,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12143.90136
t8,12191.090980000003,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12191.09098
t9,12565.682490000001,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12565.68249
t10,12916.35174,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12916.35174
t11,13235.36859,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13235.36859
t12,13343.96736,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13343.96736
t13,13348.10938,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13348.10938
t14,13308.67108,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13308.67108
t15,13277.96356,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13277.96356
t16,13728.137657584408,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-13385.57461
t17,13970.58268153907,0.0,-26.97258153906995,0.0,-0.0,0.0,0.0,0.0,0.0,-13943.6101
t18,15933.52914,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15933.52914
t19,16065.576264604182,312.7749564901132,-29.788091094296586,0.0,-0.0,0.0,0.0,0.0,0.0,-16348.563129999999
t20,16468.04466758441,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-16125.481620000002
t21,15437.50014622234,315.15800377765703,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15752.65815
t22,15155.702949999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15155.70295
t23,14237.277291094297,0.0,-29.788091094296515,0.0,-0.0,0.0,0.0,0.0,0.0,-14207.4892
t24,13512.83231758441,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-13170.26927
t25,12039.782506222344,315.15800377765703,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12354.94051
t26,11837.32523,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11837.32523
t27,11549.468829999998,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11549.46883
t28,11477.74482,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11477.74482
t29,11659.70398,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11659.70398
t30,12154.74618,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12154.74618
t31,12855.64694,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12855.64694
t32,13268.88408,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13268.88408
t33,13868.18723,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13868.18723
t34,14460.045230000002,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14460.04523
t35,15265.66197758441,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-14923.09893
t36,15026.69414,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15026.69414
t37,14981.0356910943,0.0,-29.788091094296533,0.0,-0.0,0.0,0.0,0.0,0.0,-14951.2476
t38,14560.433886222341,315.15800377765703,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14875.59189
t39,15195.608647584408,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-14853.0456
t40,14657.985916826767,264.7327231732319,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14922.71864
t41,15369.16961,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15369.16961
t42,17600.22727758441,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-17257.66423
t43,17324.638656524556,289.9453634754444,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17614.58402
t44,17291.64517,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17291.64517
t45,17120.791517584406,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-16778.22847
t46,15590.93211622234,315.15800377765703,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15906.09012
t47,14662.15217,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14662.15217
t48,13373.317879999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13373.31788
t49,12823.748747584408,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-12481.1857
t50,11992.531809999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11992.53181
t51,11762.1574,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11762.1574
t52,11435.130446524558,289.9453634754445,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11725.07581
t53,12105.55633,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12105.55633
t54,13068.70571,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13068.70571
t55,14568.35324,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14568.35324
t56,15444.68144,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15444.68144
t57,15857.974430000002,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15857.97443
t58,16224.61952,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16224.61952
t59,16492.86284,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16492.86284
t60,16892.64484758441,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-16550.0818
t61,16501.51676,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16501.51676
t62,16546.996691094297,0.0,-29.788091094296533,0.0,-0.0,0.0,0.0,0.0,0.0,-16517.2086
t63,16425.31049,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16425.31049
t64,15878.501896222342,315.15800377765703,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16193.6599
t65,16473.463491094295,0.0,-29.788091094296515,0.0,-0.0,0.0,0.0,0.0,0.0,-16443.6754
t66,18460.735137584412,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-18118.17209
t67,18032.91330622234,315.15800377765703,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-18348.07131
t68,17953.3792,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-17953.3792
t69,17689.100597584405,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-17346.53755
t70,16110.33089682677,264.7327231732319,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16375.063620000003
t71,15432.73369758441,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-15090.17065
t72,13580.344716222342,315.15800377765703,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13895.50272
t73,13062.39926,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13062.39926
t74,12526.91502,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12526.91502
t75,12244.334570000003,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12244.33457
t76,12199.41145,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12199.41145
t77,12536.084429999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12536.08443
t78,13507.173649999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13507.17365
t79,15311.436427584411,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-14968.87338
t80,15528.329096524554,289.9453634754445,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15818.27446
t81,16495.47510758441,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-16152.912060000002
t82,16107.712736524558,289.9453634754445,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16397.6581
t83,16612.00878,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16612.00878
t84,17070.33976758441,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-16727.77672
t85,16721.96758,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16721.96758
t86,16782.79696,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16782.79696
t87,16710.31094,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16710.31094
t88,16620.95764,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16620.95764
t89,16534.20593652456,289.9453634754445,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16824.1513
t90,18371.801391094294,0.0,-29.788091094296515,0.0,-0.0,0.0,0.0,0.0,0.0,-18342.0133
t91,18807.66759758441,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-18465.10455
t92,17688.529006222343,315.15800377765703,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-18003.68701
t93,17734.903327584412,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-17392.34028
t94,16158.577770633521,289.9453634754445,-52.617684108965335,0.0,-0.0,0.0,0.0,0.0,0.0,-16395.90545
t95,15421.228714569743,0.0,-319.73345456974096,0.0,-0.0,0.0,0.0,0.0,0.0,-15101.49526
t96,13581.561876222342,315.15800377765703,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13896.71988
t97,13106.93237,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13106.93237
t98,12887.51235758441,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-12544.94931
t99,11954.906456524554,289.9453634754445,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12244.85182
t100,12216.23809,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12216.23809
t101,12924.360527584407,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-12581.79748
t102,13517.165331094293,0.0,-29.788091094296533,0.0,-0.0,0.0,0.0,0.0,0.0,-13487.37724
t103,15009.79278589957,157.0328008424201,-185.5302467419897,0.0,-0.0,0.0,0.0,0.0,0.0,-14981.29534
t104,15392.239156222346,315.15800377765703,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15707.39716
t105,16109.05298,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16109.05298
