,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.4361459949961925e8,428133.24701198796,-505828.50544894603,0.0,0.0,909.0429507272614,0.0,0.0,0.0,-1.4353781328413302e8
t1,12908.037546222342,315.15800377765703,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13223.19555
t2,12610.361899999998,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12610.3619
t3,12153.135679999998,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12153.13568
t4,11847.411709999998,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11847.41171
t5,11751.258499999998,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11751.2585
t6,12217.248207584411,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-11874.68516
t7,11853.955996524555,289.9453634754445,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12143.90136
t8,12191.090980000003,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12191.09098
t9,12565.682490000001,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12565.68249
t10,12916.35174,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12916.35174
t11,13235.36859,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13235.36859
t12,13343.96736,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13343.96736
t13,13348.10938,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13348.10938
t14,13308.67108,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13308.67108
t15,13277.96356,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13277.96356
t16,13385.57461,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13385.57461
t17,14286.17314758441,0.0,-342.5630475844098,0.0,-0.0,0.0,0.0,0.0,0.0,-13943.6101
t18,15933.52914,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15933.52914
t19,16378.351221094295,0.0,-29.788091094296533,0.0,-0.0,0.0,0.0,0.0,0.0,-16348.563129999999
t20,16125.481620000002,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-16125.481620000002
t21,15752.65815,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15752.65815
t22,15155.702949999999,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15155.70295
t23,13892.331196222342,315.15800377765703,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14207.4892
t24,13170.26927,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13170.26927
t25,12354.94051,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12354.94051
t26,11837.32523,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11837.32523
t27,11549.468829999998,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11549.46883
t28,11477.74482,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11477.74482
t29,11659.70398,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-11659.70398
t30,12154.74618,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12154.74618
t31,12855.64694,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12855.64694
t32,13268.88408,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13268.88408
t33,13868.18723,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13868.18723
t34,14460.045230000002,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14460.04523
t35,14923.09893,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14923.09893
t36,15026.69414,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-15026.69414
t37,14951.247600000002,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14951.2476
t38,14875.59189,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14875.59189
