Resource,USA_Single_biomass_1.0,USA_Single_conventional_hydroelectric_1.0,USA_Single_conventional_steam_coal_1.0,USA_Single_conventional_steam_coal_2.0,USA_Single_conventional_steam_coal_3.0,USA_Single_conventional_steam_coal_4.0,USA_Single_conventional_steam_coal_5.0,USA_Single_conventional_steam_coal_6.0,USA_Single_conventional_steam_coal_7.0,USA_Single_conventional_steam_coal_8.0,USA_Single_conventional_steam_coal_9.0,USA_Single_conventional_steam_coal_10.0,USA_Single_conventional_steam_coal_11.0,USA_Single_conventional_steam_coal_12.0,USA_Single_conventional_steam_coal_13.0,USA_Single_conventional_steam_coal_14.0,USA_Single_conventional_steam_coal_15.0,USA_Single_conventional_steam_coal_16.0,USA_Single_conventional_steam_coal_17.0,USA_Single_conventional_steam_coal_18.0,USA_Single_conventional_steam_coal_19.0,USA_Single_conventional_steam_coal_20.0,USA_Single_conventional_steam_coal_21.0,USA_Single_conventional_steam_coal_22.0,USA_Single_geothermal_1.0,USA_Single_hydroelectric_pumped_storage_1.0,USA_Single_natural_gas_fired_combined_cycle_1.0,USA_Single_natural_gas_fired_combined_cycle_2.0,USA_Single_natural_gas_fired_combined_cycle_3.0,USA_Single_natural_gas_fired_combined_cycle_4.0,USA_Single_natural_gas_fired_combined_cycle_5.0,USA_Single_natural_gas_fired_combined_cycle_6.0,USA_Single_natural_gas_fired_combined_cycle_7.0,USA_Single_natural_gas_fired_combined_cycle_8.0,USA_Single_natural_gas_fired_combustion_turbine_1.0,USA_Single_natural_gas_fired_combustion_turbine_2.0,USA_Single_natural_gas_fired_combustion_turbine_3.0,USA_Single_natural_gas_fired_combustion_turbine_4.0,USA_Single_natural_gas_fired_combustion_turbine_5.0,USA_Single_natural_gas_fired_combustion_turbine_6.0,USA_Single_natural_gas_steam_turbine_1.0,USA_Single_natural_gas_steam_turbine_2.0,USA_Single_nuclear_1.0,USA_Single_onshore_wind_turbine_1.0,USA_Single_small_hydroelectric_1.0,USA_Single_solar_photovoltaic_1.0,USA_Single_naturalgas_ccccsavgcf_mid_0.0,USA_Single_naturalgas_ccavgcf_mid_0.0,USA_Single_naturalgas_ctavgcf_mid_0.0,USA_Single_battery_mid_0.0,USA_Single_naturalgas_ccs100_mid_0.0,USA_Single_landbasedwind_ltrg1_mid_40_1.0,USA_Single_landbasedwind_ltrg1_mid_40_2.0,USA_Single_landbasedwind_ltrg1_mid_40_3.0,USA_Single_landbasedwind_ltrg1_mid_40_4.0,USA_Single_landbasedwind_ltrg1_mid_40_5.0,USA_Single_landbasedwind_ltrg1_mid_40_6.0,USA_Single_landbasedwind_ltrg1_mid_40_7.0,USA_Single_landbasedwind_ltrg1_mid_40_8.0,USA_Single_landbasedwind_ltrg1_mid_40_9.0,USA_Single_landbasedwind_ltrg1_mid_40_10.0,USA_Single_landbasedwind_ltrg1_mid_40_11.0,USA_Single_landbasedwind_ltrg1_mid_40_12.0,USA_Single_landbasedwind_ltrg1_mid_40_13.0,USA_Single_landbasedwind_ltrg1_mid_40_14.0,USA_Single_landbasedwind_ltrg1_mid_40_15.0,USA_Single_utilitypv_losangeles_mid_0_2_1.0,USA_Single_utilitypv_losangeles_mid_0_2_2.0,USA_Single_utilitypv_losangeles_mid_0_2_3.0,USA_Single_utilitypv_losangeles_mid_0_2_4.0,USA_Single_utilitypv_losangeles_mid_0_2_5.0,USA_Single_utilitypv_losangeles_mid_0_2_6.0,USA_Single_utilitypv_losangeles_mid_0_2_7.0,USA_Single_utilitypv_losangeles_mid_0_2_8.0,USA_Single_utilitypv_losangeles_mid_0_2_9.0,USA_Single_utilitypv_losangeles_mid_0_2_10.0,USA_Single_utilitypv_losangeles_mid_0_2_11.0,USA_Single_utilitypv_losangeles_mid_0_2_12.0,USA_Single_utilitypv_losangeles_mid_0_2_13.0,USA_Single_utilitypv_losangeles_mid_0_2_14.0,USA_Single_utilitypv_losangeles_mid_0_2_15.0
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,5561.346950770528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2,0.0,5103.989648425518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,0.0,4798.066913694937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4,0.0,4701.8237983389745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5,0.0,5167.714750581396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t6,0.0,4804.226877841209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.15800377765703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t7,0.0,5141.2404891764345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t8,0.0,5515.729335063014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t9,0.0,5866.20352044737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
